Општина,Школа,Мин. бодова,Укупно места,Преостало места
Крушевац,"Политехничка школа ""Милутин Миланковић"", Крушевац",37.33,150,47
Крушевац,"Прва техничка школа Крушевац, Крушевац",43.94,90,38
Крушевац,"Хемијско-технолошка школа , Крушевац",42.69,135,66
Кула,"Економско-трговинска школа, Кула",41.01,60,14
Кула,"Основна и средња школа са домом ученика ""Петро Кузмјак"""" , Руски Крстур",50.25,90,55
Кула,"Средња стручна школа, Црвенка",41.14,60,30
Кула,"Средња техничка школа ""Михајло Пупин"", Кула",46.95,120,57
Куршумлија,"Гимназија, Куршумлија",51.48,90,46
Куршумлија,"Економско-техничка школа, Куршумлија",38.56,120,70
Кучево,"Економско-трговинска и машинска школа, Кучево",40.76,90,45
Лазаревац,"Гимназија у Лазаревцу, Лазаревац",50.61,150,17
Лазаревац,"Техничка школа ""Колубара"", Лазаревац",39.09,75,32
Лајковац,"Средња школа ""17. септембар"", Лајковац (Варош)",35.83,30,5
Лапово,"Средња школа, Лапово (Варошица)",42.26,30,16
Лебане,"Гимназија ""Стојан Љубић"", Лебане",55.43,60,32
Лебане,"Средња техничка школа ""Вожд Карађорђе"", Лебане",46.95,60,39
Лепосавић,"Пољопривредна школа, Лешак",48.99,80,64
Лепосавић,"Средња школа ""Никола Тесла"", Лепосавић",42.09,60,31
Лесковац,"Гимназија, Лесковац",51.36,210,60
Лесковац,"Пољопривредна школа, Лесковац",35.79,60,38
Лесковац,"Средња школа ""Светозар Крстић Тоза"", Вучје",44.42,60,35
Лесковац,"Средња школа, Грделица (Варош)",45.26,60,49
Лесковац,"Техничка школа ""Раде Металац"", Лесковац",51.17,30,5
Лесковац,"Трговинско-угоститељска школа, Лесковац",51.26,30,16
Лесковац,"Хемијско-технолошка школа ""Божидар Ђорђевић Кукар"", Лесковац",52.68,90,45
Лесковац,"Школа за текстил и дизајн, Лесковац",31.71,90,59
Липљан,"Пољопривредна школа-Гимназија Липљан, Лепина",34.19,120,90
Лозница,"Гимназија ""Вук Караџић"", Лозница",52.62,150,47
Лозница,"Средња економска школа, Лозница",37.87,30,8
Лозница,"Средња школа ""Свети Сава"", Лозница",51.55,30,24
Лозница,"Техничка школа , Лозница",37.87,30,14
Лучани,"Средња школа ""Драгачево"", Гуча (Варошица)",41.43,120,56
Љиг,"Средња  школа  ""Хиљаду  триста  каплара"", Љиг",40.75,90,38
Љубовија,"Средња школа ""Вук Караџић"", Љубовија",47.73,60,41
Мајданпек,"Гимназија ""Миле Арсенијевић Бандера"", Мајданпек",75.22,30,22
Мајданпек,"Техничка школа , Мајданпек",43.98,120,55
Мали Зворник,"Средња школа, Мали Зворник",37.91,90,42
Медвеђа,"Техничка школа ""Никола Тесла"", Медвеђа",42.78,120,73
Медијана,"Економска школа, Ниш (Медијана)",54.65,180,9
Медијана,"Електротехничка школа ""Мија Станимировић"", Ниш (Медијана)",50.03,60,17
Медијана,"Прехрамбено-хемијска школа, Ниш (Медијана)",48.86,90,47
Медијана,"Трговинска школа Ниш, Ниш (Медијана)",39.75,90,60
Медијана,"Угоститељско-туристичка школа, Ниш (Медијана)",40.03,60,14
Медијана,"Школа моде и лепоте, Ниш (Медијана)",39.72,75,42
Мионица,"Средња школа ""Мионица"", Мионица (Варошица)",37.57,45,28
Младеновац,"Техничка школа , Младеновац (Варош)",38.08,60,41
Неготин,"Пољопривредна школа са домом ученика ""Рајко Боснић"", Неготин",42.55,120,68
Неготин,"Техничка школа , Неготин",44.43,90,58
Нова Варош,"Средња школа, Нова Варош",50.25,120,58
Нова Црња,"Средња школа ""Ђура Јакшић"", Српска Црња",40.2,90,46
